anchor_path,negative_path,similarity
../data/processed/fiw/train/train-faces/F1016/MID2/P13165_face3.jpg,../data/processed/fiw/train/train-faces/F0722/MID3/P07584_face0.jpg,0.7357200384140015
../data/processed/fiw/train/train-faces/F0090/MID1/P10826_face2.jpg,../data/processed/fiw/train/train-faces/F0494/MID1/P05227_face4.jpg,0.8065556287765503
../data/processed/fiw/train/train-faces/F0048/MID1/P00484_face3.jpg,../data/processed/fiw/train/train-faces/F0180/unrelated_and_nonfaces/P01928_face0.jpg,0.752544641494751
../data/processed/fiw/train/train-faces/F0601/MID2/P06262_face0.jpg,../data/processed/fiw/train/train-faces/F0761/MID3/P08028_face2.jpg,0.7344851493835449
../data/processed/fiw/train/train-faces/F0601/MID2/P06335_face0.jpg,../data/processed/fiw/train/train-faces/F0368/MID4/P03902_face2.jpg,0.6904706954956055
../data/processed/fiw/train/train-faces/F0090/MID1/P10825_face0.jpg,../data/processed/fiw/train/train-faces/F0052/unrelated_and_nonfaces/P00513_face8.jpg,0.6441577672958374
../data/processed/fiw/train/train-faces/F0686/MID1/P10052_face0.jpg,../data/processed/fiw/train/train-faces/F0779/MID4/P08227_face0.jpg,0.7376049757003784
../data/processed/fiw/train/train-faces/F0229/MID2/P02436_face3.jpg,../data/processed/fiw/train/train-faces/F0935/MID1/P09864_face0.jpg,0.742681086063385
../data/processed/fiw/train/train-faces/F0601/MID9/P06236_face1.jpg,../data/processed/fiw/train/train-faces/F0550/unrelated_and_nonfaces/P05766_face2.jpg,0.6066087484359741
../data/processed/fiw/train/train-faces/F0478/MID1/P05029_face1.jpg,../data/processed/fiw/train/train-faces/F0992/MID8/P10458_face2.jpg,0.6555787324905396
../data/processed/fiw/train/train-faces/F0361/MID3/P03829_face2.jpg,../data/processed/fiw/train/train-faces/F0850/MID2/P08989_face0.jpg,0.7523074746131897
../data/processed/fiw/train/train-faces/F0009/MID7/P11742_face1.jpg,../data/processed/fiw/train/train-faces/F0607/unrelated_and_nonfaces/P06389_face2.jpg,0.7081223726272583
../data/processed/fiw/train/train-faces/F0537/MID3/P05643_face2.jpg,../data/processed/fiw/train/train-faces/F0730/MID4/P07649_face0.jpg,0.8897476196289062
../data/processed/fiw/train/train-faces/F0416/MID1/P04362_face1.jpg,../data/processed/fiw/train/train-faces/F0315/unrelated_and_nonfaces/P03342_face2.jpg,0.6478135585784912
../data/processed/fiw/train/train-faces/F1007/MID3/P13066_face2.jpg,../data/processed/fiw/train/train-faces/F0968/MID3/P10202_face0.jpg,0.8196861147880554
../data/processed/fiw/train/train-faces/F0653/MID1/P06864_face0.jpg,../data/processed/fiw/train/train-faces/F0651/MID2/P06846_face1.jpg,0.6032129526138306
../data/processed/fiw/train/train-faces/F0013/MID1/P00132_face0.jpg,../data/processed/fiw/train/train-faces/F0814/unrelated_and_nonfaces/P08613_face2.jpg,0.7831991314888
../data/processed/fiw/train/train-faces/F0009/MID2/P10572_face1.jpg,../data/processed/fiw/train/train-faces/F0301/unrelated_and_nonfaces/P03211_face1.jpg,0.6552200317382812
../data/processed/fiw/train/train-faces/F0601/MID2/P06335_face0.jpg,../data/processed/fiw/train/train-faces/F0743/MID1/P07789_face0.jpg,0.678382933139801
../data/processed/fiw/train/train-faces/F0961/MID1/P10131_face1.jpg,../data/processed/fiw/train/train-faces/F0635/MID4/P06670_face2.jpg,0.8454098701477051
../data/processed/fiw/train/train-faces/F0234/MID3/P02479_face2.jpg,../data/processed/fiw/train/train-faces/F0368/MID4/P03902_face2.jpg,0.7977650165557861
../data/processed/fiw/train/train-faces/F0987/MID2/P04215_face6.jpg,../data/processed/fiw/train/train-faces/F0783/MID3/P08267_face1.jpg,0.7230848670005798
../data/processed/fiw/train/train-faces/F0542/MID4/P05691_face1.jpg,../data/processed/fiw/train/train-faces/F0658/unrelated_and_nonfaces/P11017_face0.jpg,0.8310425281524658
../data/processed/fiw/train/train-faces/F0444/MID2/P04700_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00009_face2.jpg,0.8094952702522278
../data/processed/fiw/train/train-faces/F0076/MID3/P00780_face1.jpg,../data/processed/fiw/train/train-faces/F0190/MID2/P02044_face0.jpg,0.7466223239898682
../data/processed/fiw/train/train-faces/F0206/MID8/P10912_face0.jpg,../data/processed/fiw/train/train-faces/F0677/unrelated_and_nonfaces/P07066_face3.jpg,0.7299932241439819
