anchor_path,positive_path,similarity
../data/processed/fiw/train/train-faces/F0001/MID1/P00001_face0.jpg,../data/processed/fiw/train/train-faces/F0001/MID4/P00008_face3.jpg,0.4509340226650238
../data/processed/fiw/train/train-faces/F0001/MID1/P00001_face0.jpg,../data/processed/fiw/train/train-faces/F0001/MID4/P00002_face3.jpg,0.355221152305603
../data/processed/fiw/train/train-faces/F0001/MID1/P00001_face0.jpg,../data/processed/fiw/train/train-faces/F0001/MID4/P00008_face3.jpg,0.4509340226650238
../data/processed/fiw/train/train-faces/F0001/MID1/P00001_face0.jpg,../data/processed/fiw/train/train-faces/F0001/MID4/P00002_face3.jpg,0.355221152305603
../data/processed/fiw/train/train-faces/F0002/MID1/P00011_face2.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.49529701471328735
../data/processed/fiw/train/train-faces/F0002/MID1/P00011_face2.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.49529701471328735
../data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.48553431034088135
../data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.48553431034088135
../data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.48553431034088135
../data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00009_face2.jpg,0.4931775629520416
../data/processed/fiw/train/train-faces/F0002/MID2/P00009_face1.jpg,../data/processed/fiw/train/train-faces/F0002/MID3/P00015_face0.jpg,0.48553431034088135
../data/processed/fiw/train/train-faces/F0011/MID1/P00113_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00115_face0.jpg,0.4078833758831024
../data/processed/fiw/train/train-faces/F0011/MID1/P00113_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00115_face0.jpg,0.4078833758831024
../data/processed/fiw/train/train-faces/F0011/MID1/P00114_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00115_face0.jpg,0.26326173543930054
../data/processed/fiw/train/train-faces/F0011/MID1/P00113_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00115_face0.jpg,0.4078833758831024
../data/processed/fiw/train/train-faces/F0011/MID1/P00113_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00115_face0.jpg,0.4078833758831024
../data/processed/fiw/train/train-faces/F0011/MID1/P00114_face0.jpg,../data/processed/fiw/train/train-faces/F0011/MID2/P00116_face1.jpg,0.42589205503463745
